validation_id,outcome_id,adjudicated_primary,adjudicated_secondary,adjudicated_confidence,candidate_cases,adjudication_rationale
OV066,Measure 16 (2009),Environmental Protection General,,medium,INSUFFICIENT_TITLE: An annex number alone does not reveal the amendment's substantive concern. || Environmental Protection General: Amendment of the Environment Protocol explicitly concerns broad environmental protection.,The title explicitly places the amendment within the Environment Protocol but states no narrower environmental concern.
OV074,Measure 11 (2012),INSUFFICIENT_TITLE,,high,INSUFFICIENT_TITLE: The terminal colon shows that the visible title is truncated before the action or specific item. || Historic Sites and Monuments: The visible words explicitly name the historic-sites-and-monuments subject.,Despite naming a recognizable subject the visible title is truncated and the protocol expressly requires abstention for truncated titles.
OV109,Recommendation 6-11,OUTSIDE_TAXONOMY,,medium,INSUFFICIENT_TITLE: The two-word title gives no action or governable issue. || OUTSIDE_TAXONOMY: New islands are an identifiable geographic subject with no matching codebook label.,The title identifies a geographic subject but no available topic label covers the recognition or treatment of new islands.
OV119,Recommendation 13-11,INSUFFICIENT_TITLE,,high,INSUFFICIENT_TITLE: The terminal colon shows that the visible title is truncated before the action or specific area. || Area Protection and Management Plans General: The visible words explicitly identify the protected-area system.,The explicit protected-area phrase does not overcome the protocol's required abstention for a visibly truncated title.
OV123,Recommendation 14-4,Area Protection and Management Plans General,Science issues,high,Area Protection and Management Plans General: The title gives interim guidance and an extension of designation for scientific-interest sites generally. || Management Plans: Extension of protected-site designation can be read as action on designated individual sites.,No individual site is named and the plural system-level guidance supports the general protected-area label; facilitation of scientific research is an explicit material secondary concern.
OV145,Resolution 4 (1998),Exchange of Information,,low,Science issues: Antarctic data management can facilitate scientific research. || Exchange of Information: Managing Antarctic data most directly concerns the organization and availability of information.,The title says data management rather than research and therefore most closely supports information exchange although it does not explicitly state an exchange duty or format.
OV165,Resolution 7 (2010),INSUFFICIENT_TITLE,,high,INSUFFICIENT_TITLE: The title ends mid-phrase and omits where the vessels are bound and the complete governed action. || Tourism and NG_Activities: Passenger-vessel port controls are a recognizable regulation of visitor activity.,The visibly incomplete title triggers the protocol's truncation rule even though passenger vessels suggest tourism.
OV172,Resolution 3 (2015),Exchange of Information,,medium,Environmental Protection General: An Antarctic environments portal can support broad environmental protection. || Science issues: An environments portal can disseminate environmental science. || Exchange of Information: A portal is most directly an information-access and dissemination mechanism.,The only explicit functional object is a portal so information exchange is better supported than an inferred scientific or environmental-protection purpose.
OV185,Resolution 5 (2018),Environmental Protection General,Science issues,high,Environmental Protection General: The environmental code governs the environmental conduct of terrestrial field research. || Cooperation with Other Organisations: The possessive reference to SCAR supports reading the output as formal support for another organization's code.,The substantive subject is an environmental code and the title does not explicitly state coordination with SCAR; scientific field research is an explicit material secondary concern.
OV188,Resolution 4 (2019),Fauna and Flora_General,Science issues,high,Fauna and Flora_General: The code substantively governs the use of animals. || Cooperation with Other Organisations: The named Scientific Committee on Antarctic Research authored the code and may be receiving formal support.,The governed subject is animal use and is more specific than organizational cooperation; scientific purposes are an explicit material secondary concern.
OV191,Resolution 1 (2021),Environmental Protection General,Science issues,high,Environmental Protection General: The environmental code governs geoscience field-research conduct. || Cooperation with Other Organisations: The named SCAR code can be read as an instrument of formal support for another organization.,The substantive environmental code controls and the title states no act of coordination; geoscience field research is an explicit material secondary concern.
OV197,Resolution 2 (2024),Tourism and NG_Activities,,high,Tourism and NG_Activities: General visitor guidance governs Antarctic visitor activity broadly. || Site Guidelines for Visitors: The title explicitly calls the instrument guidelines for visitors.,The guidelines are general to Antarctic visitors rather than tied to a visitor site landing or post-visit report.
OV200,Resolution 4 (2025),Tourism and NG_Activities,,high,Tourism and NG_Activities: General visitor guidance governs Antarctic visitor activity broadly. || Site Guidelines for Visitors: The title explicitly calls the instrument guidelines for visitors.,The guidelines are general to Antarctic visitors rather than tied to a visitor site landing or post-visit report.
